content,score,Label
"Shoope ini gimana, tiba tiba barang yang tidak saya cekout ke cekout dengan sendirinya, waktu itu padahal saya sudah menghapus data shoope tiba tiba kok ada barang yang datang kerumah, mana hampir 1 jutaa ini gimana tolong di perbaiki",1,Negatif
Woy shopeee!!!aku sudah download aplikasi mu tapi kenapa masih ada iklan yang muncul di aplikasi lain yang tidak bisa terkena iklan!! PERBAIKI INI!!,1,Negatif
"baguss bgtt, aku sering dann sukaaaaa bgtt belanja di sinii, harganya tuhh terjangkau dannn sering ada diskon voucher potongan harga, jadiiii akuu bisa belanja dengan hemat dehh, makasihh yaa Shopee",5,Positif
"Ini shopee kenapa, pas pilih produk aman aman aja. Selalu pas saya mau co loading nya ga kelar2 udah bebeberapa refresh saya logout masih kek gituu. Ulang lagi pilih barang masih aja lancar2, saya co lagi muter2 lagi. Aneeh.",2,Negatif
"Sudah lama banget pakai aplikasi Shopee, tapi kenapa akhir2 ini kalau mau beli sesuatu selalu di batalkan sistem. Aneh banget, padahal beli kebutuhan sehari2 tapi dibatalkan karena aktivitas tidak wajar..",2,Negatif
Bunga yg besar. Dari semua item programnya. Di tambah sistem asuransi proteksi yg tidak di butuhkan. Terkesan mengada ngada. Saat klem. Pun tidak di acc. Pembodohan atas nama proteksi. Barang.. Saya yakin 7 dari 10 orang. Telah menjadi pecandu. Apk ini. Dan telah pusing tentang pembayaran nya. Kalo g penting penting bangat g usah belanja ngutang atau pun pinjam uang via ini aplikasi.. Karna bunganya besar!!!!,1,Negatif
"sangat mudah dalam penggunaan, belanja puas plus gratis ongkir, transaksi utk tagihan pun lancar. Alhamdulillah puas banget pake aplikasi shopee. good luck for shopee",5,Positif
"Sya udah banyak belanja di Shopee tapi sya udah 2 kali pesanan saya tidak sesuwai bukan yg saya pesan sampe nya, dan pesanan saya selalu awal datang bukan seperti tgl yg di buat di app Shopee datang pesanan saya",1,Negatif
"Kenapa shope GK ada diskusi produk yg tranparan yg bisa dilihat banyak org.. kyk di Tokopedia kan ada. Yg jual nya jg banyak barang kw apalagi hp. Makin lama makin lelet KEBNYAKAN toko Abal"" DN konten video nya",1,Negatif
"bingung, shopeepay ud diisi tetap ga bisa melakukan transaksi malah diblg tidak mencukupi, shopee makin lama makin ga jelas nih min, mw klaim voucher pakai shopeepay later ehh ga bisa melakukan transaksi juga",2,Negatif
"Saya sudah lama belanja di shoppe dengan pembayaran COD kok sekarang mau belanja kok harus pilih metode pembayaran tidak bisa COD lagi, mohon solusi",5,Positif
"Halo min,,, Mau nanya Fungsi pembayaran lewat COD itu apa ya ? Jika kita pesan barang COD Tapi Malah kita yang ambil ke Jasa Pengiriman Jadi apa Fungsi COD/COD cek dlu jika seperti itu. Saya tau Sangat mengerti ARTI DARI COD ! BUKAN kah Hal seperti ini merugikan kami Pembeli.!",4,Positif
"Kecewa ke pelayanan shopee, beli pakai spaylater, udah dilunasi beberapa hari setelahnya karena ada layanan bayar lebih awal. Barang bermasalah, lalu saya ajukan pengembalian, berhasil, tapi uangnya malah kembali ke spaylater, padahal udah dilunasi",1,Negatif
"Udah kecewa banget pertgl 7 ini, masa wifi lancar tapi aplikasi shopee doang lemot ibarat kyak gak pakek data percuma sekarang makin kesini shopee makin gak enak performa, diskon, dll. Udah bener sistem tik tok dulu biar bersaing tuh apalagi anjlok shopee waktu itu biar makin banyak kebijakan yg menguntungkan konsumen.",1,Negatif
"Sangat membantu buat kami yang malas pergi keluar,,, banyak pilihan toko jg bermacam harga jadi tinggal pilih aja sambil tiduran",5,Positif
"Kecewa sama shopee, Ngadain promo gratis ongkir tanpa minimal pembelian tapi ternyata pas di pake nggak bisa Harus yg minimal 30rb, sama juga boong",1,Negatif
"tolong lah untuk developernya, di opsi pesanan diterima setelah di klik di kasih konfirmasi yes or no lagi, jgn sekali pencet langsung masuk tab selesai. asli bikin kesel ini klo gk sengaja ke klik pesanan diterima tp masih jauh pengiriman nya.",2,Negatif
"Gak tau kenapa pagi ini apk nya update sendiri dan semuanya hilang, termasuk barang yang dikeranjang. Mana lagi pesen barang jugak lagi proses pengiriman hilang juga historynya gak tau deh gimana udah berusaha login gak bisa. Sedih banget padahal pakek udah lama gak pernah begini. Tolong dong shopee jangan gitu lah sedih parah",2,Negatif
"Hati² kalo pinjam uang disini, dilihat rincian pinjaman.. saya pinjam 3jt balikin jadi 4,5.. karena gak sadar ternyata ada biaya cicilan sampai 1,4 sendiri belum bunga perbulannya jg.. gila ni pinjoll.. jgn sampai pinjam disini. biaya cicilan dengan bunga berbeda.. biaya cicilan 1,4jt , sedangkan bunga 1% gila ngga tu.. Dan juga jika anda ada kendala dengan penjual.. Hanya penjual yang akan dibela.. Untuk pembeli tidak akan mendapatkan solusi.. Hanya disuruh menunggu dan menunggu 🤬🤬🤬🤬🤬🤬🤬",1,Negatif
"Seneng benar2 memudahkan, harganya banyak yang murah beserta berbagai diskon dari shopeenya. Banyak gratis ongkir. Sudah langganan nomer satu deh.",5,Positif
"Sejauh ini tidak pernah ngecewakan aku puas banget berbelanja di Shopee semoga seperti ini terus yah dan belajar di Shopee selalu sesuai barang nya dan harga nya terjangkau sekali, makasih Shopee ♥️♥️♥️",5,Positif
Shopee kerja nyaa yg proposional dong tidak bisa melakukan layanan COD karna alasan pembatalan . Gmna ngak di batalkan kalo barang ga sesuai. Coba lihat riwayat COD sy yg lain apa ada yg di batalkan kalo memang sesuai barang yg Sampay semua nya dibayar. Kecewa banget mau uinstall ajalah .,1,Negatif
"Shopee aneh, masa mau cek out ga bisa Keluar kode M04, padahal saya hanya pakek voucher gratis ongkir yang disediakan oleh pihak Shopee,masa iya ditolak juga? Sudah saya baca S&K dan tidak ada kesalahan. Akun saya normal, paylater lancar bayar, dan keseringan cek out pake Shopee pay. Saya cek out kadang bisa sampe 20-30 barang perhari, bukan nya itu malah enak ke pihak Shopee nya. Ini malah akun mencurigakan segala Nanti saya ubah rate nya kalo akun saya kembali normal",1,Negatif
smpe skrng akun g bsa dibuka tiap masukin kode error coba lagi nanti laporan ama cs malah disuruh serahin data2 bank ini itu ribet bgt.. pdahal jelas2 email no hp dipegang masi mnta data mutasi bank dll sgala.. gajelas. mau login aja susah bner delete akun jga g bsa akhirnya no hp jd g bsa dipake buat bkin akun baru,1,Negatif
Tolong dong di benerin lagi shopeenya dari dulu selalu ada ngelag. Pasti mesti log out dulu baru lancar lagi. Mau di laptop mau d hp tetap aja. Memang dari shopee nya ini yang bermasalah tapu ga di bener benerin,2,Negatif
Spinjam gak jelas. Pembayaran tepat waktu kadang sebelum tgl jatuh tempo sudah di bayar. Kenapa pengajuan di tolak sampe 3x dengan catatan kurang baik. Kalau gak bisa pinjam lagi tinggal kasih notif ajh. Jgn di kasih harapan untuk mencoba di bulan berikut nya,1,Negatif
"Contoh dong TIKTOK. paylaternya bisa dibayar 30 ribu. jadi angsuran 500 ribu/perbulan bisa dicicil setiap hari asalkan sesuai nominal minimum pembayaran, jadi gak mumet bayar besar pas jatuh tempo. semoga bisa di adopsi oleh shopee.",5,Positif
"Semoga dengan edit ulasanya ini,, semua kendala yg saya alami cepat selesai,, dan mempermudah untuk saya bisa bertransaksi,, dan menambah promo2 menarik agar semuanya menjadi mudah,,",5,Positif
"kenapa default menu nya jadi halaman live & video sih? ga enak banget. kita ini mau pesen shopeefood, mau search produk bukan mau nonton vidio.",1,Negatif
"Bagus tetapi untuk pembayaran split bill (debit+kredi) tidak ada krna terkadang uang org tidak full di satu kartu, smoga dapat di upgrade biar smakin mudah pembayaran. Memakai 2 kartu.",4,Positif
"Selama ini pelayana shopee cukup baik walaupun kadang2 ada toko yg kurang amanah juga sih,contonya barang yg beda antara contoh barang yg diiklan sama yg di kirim... pesan sy pada shopeenya seleksi lagi toko2 yg krng amanahnya jangan sampe konsumen kecewa.dan mohon dijaga isi dari paketnya spy isi paketnya tetap utuh... terimakasih....🙏🙏",5,Positif
"Shopee sangat membantu saya dalam berbelanja dan berhemat,tidak perlu lagi ke supermarket,tinggal buka aplikasi shopee cek out dehh sesuai kebutuhan yang diinginkan karena semua tersedia dishope,apalgi kurir juga ramah2😁😁",5,Positif
Dengan adanya aplikasi shoppe mempermudah cari2 barang sesuai keinginan tanpa harus keluar rumah.sellernya juga rata2 pada amanah dan jasa kurirnya juga ramah dan cepat.makin berkembang buat aplikasi shoppe.,5,Positif
"Cukup membantu dalam menghemat tenaga dan waktu klo pengin belanja, karena di shopee semuanya ada dan harga barang²nya juga gak mahal² amat. Okeee deh pokoknya, sukses buat shopee dan semua resellernya...",5,Positif
Shopee banyak bonusnya. Tapi tolong di tertibkan reseller2 yang lebay. Deskripsi di iklan penjualan kualitas nya ga sesuai dengan barang yang di kirim.,5,Positif
Sekarang kecewa sama shopee ...kok akhir2 ini tiap mau chekout ada gambar download dan memuat fitur dan gak selesai sampai berjam2 tidak bisa melakukan pembayaran ....pembayaran bisa nya pake tf bank ..padahal shopeepay ada saldo nya ... kalau tidak bisa buat belanja buat apa ..di tf ke bank juga sama saja ....anehhh sekarang shopee tolong gimana ini pihak shopee ...???????????,2,Negatif
Syaa kasi bntang 1 kcewaaaaaaaaa Krn pengirimannya yg sngt lama. Sya byrr mhl 380rb.biaya pengiriman express tp dtangnya pengiriman normal datang tidak tepat waktu. Sama aja bohong ....,1,Negatif
"Apa yg di cari dan ingin di beli, dr semua kebutuhan semua ada. Dg harga yg terjangkau. Kwalitas sesuai harga. Pembayaran mudah. Terima kasih shoope. Sukses selalu",5,Positif
"Sementara uninstal, cod dinonaktifkan pihak shopee. Baru sekali ngebatalin pesanan karena kesalahan kurirnya, yang ke dua masih dlm proses perjalanan pengiriman dibatalkan sepihak oleh shopee sendiri dengan alasan gagal pengiriman padahal aku tidak membatalkan pesanan. Sudah chat, telp cs tapi sama sekali tidak bisa memberikan penjelasan. Ya sudah, saat ini belanja di Zalora/toped/lazada.",1,Negatif
"Kebanyakan iklan bikin susah org lagi main dikit"" iklan pas mau di skip malah ke apk nya trs gabisa keluar NYUSAHIN gasuka banget iklan shopee ganggu banget bikin susah",1,Negatif
"Aplikasi spinjamnya error dari kemarin,mau bayar tagihan tidak bisa,mana sudah jatuh tempo,jadinya kena denda.tolong segera di perbaiki aplikasi spinjamnya.",1,Negatif
"Sebelumnya mohon maaf nih, shopee ini emang sebuah apk yg sangat berguna bagi saya, tapi sayangnya di bagian shopefoodnya, ongkir nya terlalu mahal, padahal udh pakai shopee plussnya, tetap aja mahal,(beda dengan apk gjk, kalau udh pakai gjk pluss nya, kalau mau beli makanan di gjk murah, ongkir juga ngk mahal,ITU AJA SIH KERESAHAN SAYA PAKAI SHOPE SELEBIHNYA SHOPEE EMANG DEBEST, KECUALI DI BAGIAN SHOPEEFOODNYA, semoga bisa di perbaiki 👍👍👍",4,Positif
Aplikasi yg sangat membuat kecewa 👎aplikasi tài . Pesanan tidak pernah tepat waktu. Lebih bagus belanja di tiktok...shoope khususnya kota manado sulawesi utara sangat dan sangat mengecewakan.,1,Negatif
Ak ska bngt sih sama apk ini mudah murah dan GK ribet juga enak mdh di pke namun syng kadang² harus blnja 30 RB ke atas baru dpt free ongkir maaf tapi awal blnja dpt free ongkir Tidk ad min blnja lumayan tapi jg adk ku suka mencet² tapi itu GK masalah kok smngat trus,5,Positif
"Memuaskan apk nya dan sangat membantu. hanya saja pemberitahuan/ notifikasi dari apk terlalu mengganggu, karna saat ad notif lngsng ke buka otomatis ke halaman nya trs ngelage_-",4,Positif
Sudah beberapa kali dan menjadi prioritas utama setiap belanja OL. Tidak pernah kecewa belanja di shopee asalkan kita pandai memilih produk dari toko dengan rating bagus dan review positif dari pembelinya. Harga² produk bersaing dan lebih murah dibandingkan dengan ecommers lain.,5,Positif
Tolong dong prbaiki sistem shopee di pake di hp android 5.1.1 sering kembali sendiri dan hp panas tapi di android 10 lancar aja tolong hanya untuk android 5.1.1 perbaiki suka leg dan panas dan sering kembali sendiri dan lag padahal wifi bagus buat dipake apk lain tapi buka shopee di andrid 5.1.1 panas dan leg perbaiki ya.,1,Negatif
"Saya menggunakan aplikasi ini, akan tetapi saya sudah dua kali membeli barang dan dua kali, barang tidak sesuai gambarnya, saya sudah menghubungi penjual tapi tidak di respon, saya kasih 1 bintang dan saya sudah melaporkan tapi tidak ada respon, oke berikutnya saya akan uninstall aplikasi ini.",1,Negatif
"Semoga shopee makin banyak toko yng gratis ongkir ke daerah kalimantan hehe. Pengiriman cepat dan respon admin cepat ⭐⭐⭐⭐⭐. Makasih shopee transaksi belanja lebih mudah, apalagi sekarang ada payleter hehe♥️",5,Positif
"*sortir lapak sungguhan dengan yang Abal Abal. *Perbaiki bug *Kurangi iklan di awal buka app ini * Jika pembeli harus menyertakan nomer hp yang bisa di hubungi,maka siapapun kurirnya pas status pengiriman ""dalam proses pengantaran ' maka wajib juga sertakan nomer hp kurir yang bisa dihubungi juga . setidaknya update berikutnya sertakan opsi ini. . * Stop embel embel gratis ongkir kalo potongannya cuma kurang dari setengah ditambah lamanya paket sampai tujuan...",1,Negatif
Sejauh ini kurir shopee menunjukan perubahan sekali . Dulu awal kurir shopee ada di kota palu pelayanan sungguh sangat lama . Tapi saat ini sudah tepat waktu bahkan sampai kenal kurir kurirnya 😁. Mantap shopee,5,Positif
"kenapa shopee ini ysebelum saya aktifkan seabank shopee selalu nyaranin aktifkan seabank dengan segala macam iming2 cashback dan diskonnya sampai setengah harga barang , stelah punua seabank boro2 ada potongan atau cash jd sama saja sprti bayar transfer bank , terus pas mau CO selalu harus pilih pembayaran , setelah pilih pembayaran harganya jd malah lebih mahal dan gak dapat potongan harga pake seabank juga dan pake transfer bank juga",1,Negatif
"Aplikasi jual beli yg recommended, mudah, cepat aksesnya, game nya keren2, makin betah akses nya, sukses selalu shopee, love u full pokoknya ⭐⭐⭐⭐⭐..",5,Positif
"Platform terbaik untuk belanja, shoope beda dari yg lain thanks you sedunia ♥️, eh satu lagi untuk fitur lacakannya dimohon lebih real lagi terima kasih selain itu udh mantap ♥️",5,Positif
"Shopee Alang kah baik nya kalau pengiriman nya yang menuju alamat di kasih nama sama nor wa nya seperti tiktok biar gak ada penipuan kurir nya, biar bisa menghubungi kurir yg mengirim paket nya",5,Positif
"Saya rasa untuk keamanan kurang oke .masa iya bisa ada baraang ke rumah padahal ortu saya tidak pesan, di aplikasi hp sndri tidak ada riwayat konfirmasi, kok bisa gtu ya?saller bisa buat pesanan sendiri, saller tembakan",2,Negatif
"Saldo payku ada 50k. Belanja cuma 38k koq gak bisa bayar Shopee pay katanya gak ada saldo. Bayar seabank jg kaga bisa, katanya gak ada saldo.. koq gini setelah update 🗿",4,Positif
"Pembayaran selalu lancar tepat waktu, tapi kenapa Shopee pinjam saya tidak pernah di ACC? Mohon dijelaskan.. Untuk playlater nya sudah cukup besar, mohon di naikan limit Shopee pinjam nya. Sama diaktifkan shopee pinjam extra nya . Terima kasih. Semoga shopee tetap sukses selalu aamiin 🤲",5,Positif
"Aku kasih Bintang lima Karena dengan adanya apk ini, aku jadi lebih mudah cara belanja bahkan untuk stok toko offline ku, harga murah dan barang yg datang hampir selalu tepat dan sesuai barang yg diorder. Selain itu pengiriman tepat waktu dan banyak promo bebas ongkir.",5,Positif
"Pengalaman sy selama belanja di shopee hapy dan aman2 saja kecuali satu hal dan membuat sy sangat kecewa yaitu beli mebel seharga 8.158.000 di toko mebelantik77jepara bayar lunas tgl 6-8-2024 tapi sampai hari ini barang pesanan belum saya terima, penjual jika dihubungi tdk merespon. Tolong ya shopee, bantu saya ya agar barang pesanan sy segera dikirim .",5,Positif
"Seneng bgt belanja d shopee .. lebih hemat,bisa cari barang yg aq mau juga .. pengalaman selama belanja d shoope alhamdulillah sangat puas .. terimakasih shopee .. memudahkam saya untuk belanja online 🫶",5,Positif
"Tolong jgn memulai merendahkan kualitas shopee dgn notifikasi omong kosong yg hanya mengganggu,saya beri bintang 2 agar masukan dri saya menonjol di daftar opsi dan benar2 di baca oleh monitor.",2,Negatif
"So far dah bagus sih, cuma sbg seller kalo boleh ksh masukan utk pencairan otomatis dana masuk saldo itu klo bisa lebih dipercepat agar cashflow toko terjaga terutama utk usaha kecil yg margin keuntungannya ga banyak. Sehingga arus belanja jg makin meningkat. Karna msh bnyk bgt buyer yg ga konfirmasi brg sampai. Giliran komplain paling depan...hehe",5,Positif
"Makin kesini knp makin gk jelas aplikasi shopee, apa lagi buat affiliate dari mulai tiba2 aplikasi kembali sendiri ketika live streaming, dan tiba-tiba memberikan pelanggaran, dengan alasan tidak mengenalkan produk yg di tawarkan, padahal jelas sedang menjelaskan produk dan sedang berbicara tentang produk yg di tawarkan, sudah ajukan keluhan ke customer service juga GK ad perbaikan... Jelas sangat merugikan traffic turun drastis",2,Negatif
"saya gak suka iklan shopee di aplikasi lain... kalo iklan yg lain di pencet tanda X langsung keluar.. kalo shopee tidak.. di pencet tanda X malah makin masuk di aplikasi shopee, di keluarin juga susah. kadang di hp saya tanda X nya kecil jd susah..",1,Negatif
"Banyaknya penipuan,beli produk harga 98rb dan 77rb yang datang lain dari yang di co, coba di hubungi tokonya di kasih voucher 74,co barang harga 111rb ttp aja bayar harga aslinya,tidak ada potongan, cuma di bawah harga co tertulis HEMAT 74ribu",1,Negatif
"Saya suka belanja di shopee lebih murah enak nyaman...tapi tolong untuk para penjual di perketat soalnya masih ada sebagian orang yg suka menipu, saya beli obat iklannya itu kemasannya ada gambar seperti dan isinya 50 butir....tapi yg datang kemasan botol polos gk meyakinkan trus isinya cuma 29 ....saya sangat kecewa karna waktu itu saya beli 3 botol ......saya mohon pada shopee penjual yg niatnya menipu sebaiknya di blokir biar gk bisa jualan lagi biar gk ada korban lagi",5,Positif
"Untuk apknya sudah bagus, cuma masalah nya di tim ekspedisi/kurir SPX barang kadang datang terlalu lambat dan lewat batas Estimasi kadang juga di retur tampa pemberitahuan, jadi saya selalu pakai tim ekspedisi j&T walupun ongkirnya lebih mahal tapi pengiriman sangat cepat dan aman jadi nga perlu nunggu yg tidak pasti 👍👍👍",4,Positif
Banyak toko penipuan di shopee ini dan juga shopee paylater sya sudah 5 tahun gak bisa aktif. Selalu berkata cobak lagi di 10 tahun ke depan. Hadeeeh. Percuma sering belanja di shopee eeeiiii. Mau beralih ke lazada aja nii,1,Negatif
"Hallo shopee tolong tambahkan metode pembayaran shopee wallet seperti Dana,ovo dan gopay untuk diterapkan disetiap toko kan mudah untuk membayar nya (tidak setiap orang punya bank ,kalau cuma punya wallet kan susah untuk membayarnya tidak ada metode pembayaran wallet disana)oke itu aja terimakasih dan aplikasi shopee sangat bagus cuma masalahnya diatas.⬆️ tolong di update selanjutnya ada metode pembayaran wallet ya shoppe",5,Positif
Kenapa ya saya mau melakukan pembayaran pake shoppe pay selalu memuat ulang tolong sekali di percepat perbaikan nya saya ga bisa belanja jadinya ini saldo juga udah cukup bahkan lebih tolong ya pihak shopee,4,Positif
"Aplikasi sangat mudah digunakan, performa pengguna aplikasi sangat stabil, tampilan aplikasi sangat menarik, menu layanannya sangat banyak, kemudahan sistem dalam pembayaran dan banyak pilihannya dan layanan Gratis ongkirnya selalu ada. Ditambah ada cuan koinnya dari main game atau lihat live streamingnya beberapa toko.",5,Positif
"Tidak bisa Cekout karena harus Dowload Fitur dahulu, tapi ketika akan download fiturnya tidak bisa, Persentase downloadnya 0% terus... KECEWA...",1,Negatif
"Pd bln December hingga awal januari saya merasakan kendala.bahwa shopee tidak menampilkan foto d galeri. Itu sangat menyulitkan dalam pembelian,krn dlm pengetikan yang ditampilkan tidak selalu sesuai dengan produk yg diinginkan",1,Negatif
